head,tail,context,section,source_type,weak_label,weak_label_source,label,pair_id,candidate_id,text_basic,text_marked,llm_judge_raw_response,llm_judge_parse_status,llm_judge_model
Rozemary,Viscount Joisontak,"*Viscount Joisontak, Rozemary's older brother, tried to abduct Rozemyne at the end of Part 3. *Miya Kazuki in Fanbook 3 describes her as a mischievous imp who changed her attitude depending on the person she was talking to.",Trivia,prose,family,keyword:\bbrother\b,family,Rozemary || Viscount Joisontak,cand_001890,"*Viscount Joisontak, Rozemary's older brother, tried to abduct Rozemyne at the end of Part 3. *Miya Kazuki in Fanbook 3 describes her as a mischievous imp who changed her attitude depending on the person she was talking to.","section=Trivia source=prose *[TAIL] Viscount Joisontak [/TAIL], [HEAD] Rozemary [/HEAD]'s older brother, tried to abduct Rozemyne at the end of Part 3. *Miya Kazuki in Fanbook 3 describes her as a mischievous imp who changed her attitude depending on the person she was talking to.",family,parsed,google/gemma-2-2b-it
Freuden,Bertram,Infobox field family/Brother: Laurenz Bertram (Half-Brother),infobox,infobox,family,infobox:family/Brother,no_relation,Freuden || Bertram,cand_001891,Infobox field family/Brother: Laurenz Bertram (Half-Brother),section=infobox source=infobox [HEAD] Freuden [/HEAD] Infobox field family/Brother: Laurenz [TAIL] Bertram [/TAIL] (Half-Brother),brother,invalid_response_fallback_to_no_relation,google/gemma-2-2b-it
Jonsara,Kashick,Kashick and Jonsara explain the family simply does not have the money for a second magic tool or to support Konrad as a blue priest.,Part 4 Volume 3,prose,no_relation,keyword:none,family,Jonsara || Kashick,cand_001892,Kashick and Jonsara explain the family simply does not have the money for a second magic tool or to support Konrad as a blue priest.,section=Part 4 Volume 3 source=prose [TAIL] Kashick [/TAIL] and [HEAD] Jonsara [/HEAD] explain the family simply does not have the money for a second magic tool or to support Konrad as a blue priest.,family,parsed,google/gemma-2-2b-it
Bertram,Melchior,"As he gets along well with Lord Melchior at the orphanage, that's whom he will name-swear to in the future.",lead,prose,no_relation,keyword:none,romantic,Bertram || Melchior,cand_001893,"As he gets along well with Lord Melchior at the orphanage, that's whom he will name-swear to in the future.","section=lead source=prose [HEAD] Bertram [/HEAD] As he gets along well with Lord [TAIL] Melchior [/TAIL] at the orphanage, that's whom he will name-swear to in the future.",romantic,parsed,google/gemma-2-2b-it
Rudiger,Ferdinand,Infobox field family/Uncle: Sylvester Ferdinand,infobox,infobox,family,infobox:family/Uncle,family,Rudiger || Ferdinand,cand_001894,Infobox field family/Uncle: Sylvester Ferdinand,section=infobox source=infobox [HEAD] Rudiger [/HEAD] Infobox field family/Uncle: Sylvester [TAIL] Ferdinand [/TAIL],family,parsed,google/gemma-2-2b-it
Previous Count Leisegang,Sylvester,"During the reign of the Sixth Aub Ehrenfest and later under Sylvester, Veronica mistreated basically anyone who wasn't a clear ally to her, with the Leisegangs in particular due to their influence and open opposition to anyone with Ahrensbach blood.",History,prose,friend_ally,keyword:\bally\b,enemy_rival,Previous Count Leisegang || Sylvester,cand_001895,"During the reign of the Sixth Aub Ehrenfest and later under Sylvester, Veronica mistreated basically anyone who wasn't a clear ally to her, with the Leisegangs in particular due to their influence and open opposition to anyone with Ahrensbach blood.","section=History source=prose [HEAD] Previous Count Leisegang [/HEAD] During the reign of the Sixth Aub Ehrenfest and later under [TAIL] Sylvester [/TAIL], Veronica mistreated basically anyone who wasn't a clear ally to her, with the Leisegangs in particular due to their influence and open opposition to anyone with Ahrensbach blood.",enemy_rival,parsed,google/gemma-2-2b-it
Adelbert,Karstedt,"Infobox field family/Relatives: Karstedt (Nephew) Elvira (Niece, In-Law) Trudeliede (Niece, In-Law) Rozemary (Niece, In-Law, Deceased) Veronica (Cousin) Fourth Aub Ehrenfest (Grandfather)",infobox,infobox,family,infobox:family/Relatives,family,Adelbert || Karstedt,cand_001896,"Infobox field family/Relatives: Karstedt (Nephew) Elvira (Niece, In-Law) Trudeliede (Niece, In-Law) Rozemary (Niece, In-Law, Deceased) Veronica (Cousin) Fourth Aub Ehrenfest (Grandfather)","section=infobox source=infobox [HEAD] Adelbert [/HEAD] Infobox field family/Relatives: [TAIL] Karstedt [/TAIL] (Nephew) Elvira (Niece, In-Law) Trudeliede (Niece, In-Law) Rozemary (Niece, In-Law, Deceased) Veronica (Cousin) Fourth Aub Ehrenfest (Grandfather)",family,parsed,google/gemma-2-2b-it
Cornelius,Eckhart,Infobox field family/Brother: Eckhart Lamprecht Nikolaus (Half-Brother),infobox,infobox,family,infobox:family/Brother,family,Cornelius || Eckhart,cand_001897,Infobox field family/Brother: Eckhart Lamprecht Nikolaus (Half-Brother),section=infobox source=infobox [HEAD] Cornelius [/HEAD] Infobox field family/Brother: [TAIL] Eckhart [/TAIL] Lamprecht Nikolaus (Half-Brother),family,parsed,google/gemma-2-2b-it
Georgine,Sylvester,"This caused Grausam, her most loyal servant, to state that they were better off eliminating Sylvester.",History,prose,no_relation,keyword:none,enemy_rival,Georgine || Sylvester,cand_001898,"This caused Grausam, her most loyal servant, to state that they were better off eliminating Sylvester.","section=History source=prose [HEAD] Georgine [/HEAD] This caused Grausam, her most loyal servant, to state that they were better off eliminating [TAIL] Sylvester [/TAIL].",enemy_rival,parsed,google/gemma-2-2b-it
Leonore,Previous Count Leisegang,"Infobox field family/Relatives: Previous Count Leisegang (Great-Grandfather, Deceased) Hartmut (Cousin)",infobox,infobox,family,infobox:family/Relatives,family,Leonore || Previous Count Leisegang,cand_001899,"Infobox field family/Relatives: Previous Count Leisegang (Great-Grandfather, Deceased) Hartmut (Cousin)","section=infobox source=infobox [HEAD] Leonore [/HEAD] Infobox field family/Relatives: [TAIL] Previous Count Leisegang [/TAIL] (Great-Grandfather, Deceased) Hartmut (Cousin)",family,parsed,google/gemma-2-2b-it
Constanze,Rozemyne,"Infobox field family/Relatives: Karstedt (Cousin) Wilfried (Nephew) Melchior (Nephew) Charlotte (Niece) Henriette (Niece) Detlinde (Niece) Rozemyne (Niece, through adoption) Detlinde (Niece) Alstede (Niece) Wolfram (Nephew, Deceased)",infobox,infobox,family,infobox:family/Relatives,family,Constanze || Rozemyne,cand_001900,"Infobox field family/Relatives: Karstedt (Cousin) Wilfried (Nephew) Melchior (Nephew) Charlotte (Niece) Henriette (Niece) Detlinde (Niece) Rozemyne (Niece, through adoption) Detlinde (Niece) Alstede (Niece) Wolfram (Nephew, Deceased)","section=infobox source=infobox [HEAD] Constanze [/HEAD] Infobox field family/Relatives: Karstedt (Cousin) Wilfried (Nephew) Melchior (Nephew) Charlotte (Niece) Henriette (Niece) Detlinde (Niece) [TAIL] Rozemyne [/TAIL] (Niece, through adoption) Detlinde (Niece) Alstede (Niece) Wolfram (Nephew, Deceased)",family,parsed,google/gemma-2-2b-it
Raimund,Ferdinand,"Much to Raimund's surprise, Ferdinand allows this, despite the specifications coming from him, which many other professors would have likely used as a way to take the credit or at least take a cut of the money.",Part 4 Volume 8,prose,no_relation,keyword:none,no_relation,Raimund || Ferdinand,cand_001901,"Much to Raimund's surprise, Ferdinand allows this, despite the specifications coming from him, which many other professors would have likely used as a way to take the credit or at least take a cut of the money.","section=Part 4 Volume 8 source=prose Much to [HEAD] Raimund [/HEAD]'s surprise, [TAIL] Ferdinand [/TAIL] allows this, despite the specifications coming from him, which many other professors would have likely used as a way to take the credit or at least take a cut of the money.",no_relation,parsed,google/gemma-2-2b-it
Leidenschaft,Ewigeliebe,"However, they could not fully defeat Ewigeliebe without preventing all new life from being born.",Mythology,prose,no_relation,keyword:none,romantic,Leidenschaft || Ewigeliebe,cand_001902,"However, they could not fully defeat Ewigeliebe without preventing all new life from being born.","section=Mythology source=prose [HEAD] Leidenschaft [/HEAD] However, they could not fully defeat [TAIL] Ewigeliebe [/TAIL] without preventing all new life from being born.",romantic,parsed,google/gemma-2-2b-it
Hortensia,Raublut,"It is later revealed that Raublut killed Hortensia, when she became a risk to his plans.",Part 5 Volume 9,prose,enemy_rival,keyword:\bkill(?:ed|s)?\b,enemy_rival,Hortensia || Raublut,cand_001903,"It is later revealed that Raublut killed Hortensia, when she became a risk to his plans.","section=Part 5 Volume 9 source=prose It is later revealed that [TAIL] Raublut [/TAIL] killed [HEAD] Hortensia [/HEAD], when she became a risk to his plans.",enemy_rival,parsed,google/gemma-2-2b-it
Leonzio,Detlinde,"In a later private meeting, Leonzio uses Detlinde's obvious infatuation to woo her, complimenting her in ways more akin to how commoners talk, than the euphemism laden language that is the norm among Yurgenschmidt nobles.",Part 5 Volume 6,prose,no_relation,keyword:none,romantic,Leonzio || Detlinde,cand_001904,"In a later private meeting, Leonzio uses Detlinde's obvious infatuation to woo her, complimenting her in ways more akin to how commoners talk, than the euphemism laden language that is the norm among Yurgenschmidt nobles.","section=Part 5 Volume 6 source=prose In a later private meeting, [HEAD] Leonzio [/HEAD] uses [TAIL] Detlinde [/TAIL]'s obvious infatuation to woo her, complimenting her in ways more akin to how commoners talk, than the euphemism laden language that is the norm among Yurgenschmidt nobles.",romantic,parsed,google/gemma-2-2b-it
Gustav,Freida,He carefully selected Freida's partner.,lead,prose,no_relation,keyword:none,romantic,Gustav || Freida,cand_001905,He carefully selected Freida's partner.,section=lead source=prose [HEAD] Gustav [/HEAD] He carefully selected [TAIL] Freida [/TAIL]'s partner.,romantic,parsed,google/gemma-2-2b-it
Kamil,Deid,Infobox field family/Relatives: Unnamed Younger Sibling (Deceased) Deid's Mother (Distant Cousin),infobox,infobox,family,infobox:family/Relatives,family,Kamil || Deid,cand_001906,Infobox field family/Relatives: Unnamed Younger Sibling (Deceased) Deid's Mother (Distant Cousin),section=infobox source=infobox [HEAD] Kamil [/HEAD] Infobox field family/Relatives: Unnamed Younger Sibling (Deceased) [TAIL] Deid [/TAIL]'s Mother (Distant Cousin),family,parsed,google/gemma-2-2b-it
Raimund,Veronica,"She goes further to state that if she was that kind of person, she never would have taken Ferdinand under her wing, since doing so received considerable pushback from the Veronica faction and earned her many toxic messages from Lady Veronica herself back in the day.",Part 4 Volume 6,prose,no_relation,keyword:none,enemy_rival,Raimund || Veronica,cand_001907,"She goes further to state that if she was that kind of person, she never would have taken Ferdinand under her wing, since doing so received considerable pushback from the Veronica faction and earned her many toxic messages from Lady Veronica herself back in the day.","section=Part 4 Volume 6 source=prose [HEAD] Raimund [/HEAD] She goes further to state that if she was that kind of person, she never would have taken Ferdinand under her wing, since doing so received considerable pushback from the [TAIL] Veronica [/TAIL] faction and earned her many toxic messages from Lady Veronica herself back in the day.",enemy_rival,parsed,google/gemma-2-2b-it
Roswitha,Letizia,"Since Ferdinand also takes over Letizia's education, the familial relationship between Roswitha and Serguis help the respective retainers of the two to interface with each other.",Part 5 Volume 7,prose,service_retainer,keyword:\bretainers\b,family,Roswitha || Letizia,cand_001908,"Since Ferdinand also takes over Letizia's education, the familial relationship between Roswitha and Serguis help the respective retainers of the two to interface with each other.","section=Part 5 Volume 7 source=prose Since Ferdinand also takes over [TAIL] Letizia [/TAIL]'s education, the familial relationship between [HEAD] Roswitha [/HEAD] and Serguis help the respective retainers of the two to interface with each other.",family,parsed,google/gemma-2-2b-it
Janrik,Veronica,"The following winter, Aub Ehrenfest enacts a purge of the former Veronica faction, with anyone who is name-sworn to Georgine or who committed severe crimes against the archducal family and duchy being executed.",Part 5 Volume 1,prose,enemy_rival,keyword:\bexecute(?:d|s)?\b,enemy_rival,Janrik || Veronica,cand_001909,"The following winter, Aub Ehrenfest enacts a purge of the former Veronica faction, with anyone who is name-sworn to Georgine or who committed severe crimes against the archducal family and duchy being executed.","section=Part 5 Volume 1 source=prose [HEAD] Janrik [/HEAD] The following winter, Aub Ehrenfest enacts a purge of the former [TAIL] Veronica [/TAIL] faction, with anyone who is name-sworn to Georgine or who committed severe crimes against the archducal family and duchy being executed.",enemy_rival,parsed,google/gemma-2-2b-it
Eglantine,Anastasius,"He feels he stole her birthright, and he is determined to have her marry Anastasius or Sigiswald to regain her original status as royalty.",History,prose,no_relation,keyword:none,romantic,Eglantine || Anastasius,cand_001910,"He feels he stole her birthright, and he is determined to have her marry Anastasius or Sigiswald to regain her original status as royalty.","section=History source=prose [HEAD] Eglantine [/HEAD] He feels he stole her birthright, and he is determined to have her marry [TAIL] Anastasius [/TAIL] or Sigiswald to regain her original status as royalty.",romantic,parsed,google/gemma-2-2b-it
Detlinde,Rozemyne,"While it is not confirmed, it is strongly implied to be Detlinde, planning to take the shumils away from Rozemyne. *Both Wilfried and Charlotte remarked that Detlinde strongly resembled Veronica, but their reasons are entirely different. *Her name is a German name, usually spelled as ""Dietlinde"" or ""Dietlind"".",Trivia,prose,no_relation,keyword:none,no_relation,Detlinde || Rozemyne,cand_001911,"While it is not confirmed, it is strongly implied to be Detlinde, planning to take the shumils away from Rozemyne. *Both Wilfried and Charlotte remarked that Detlinde strongly resembled Veronica, but their reasons are entirely different. *Her name is a German name, usually spelled as ""Dietlinde"" or ""Dietlind"".","section=Trivia source=prose While it is not confirmed, it is strongly implied to be [HEAD] Detlinde [/HEAD], planning to take the shumils away from [TAIL] Rozemyne [/TAIL]. *Both Wilfried and Charlotte remarked that Detlinde strongly resembled Veronica, but their reasons are entirely different. *Her name is a German name, usually spelled as ""Dietlinde"" or ""Dietlind"".",no_relation,parsed,google/gemma-2-2b-it
Adrett,Hirschur,"Adrett is a library magic tool created by Professor Hirschur and Ferdinand, currently owned by Lady Rozemyne.",lead,prose,no_relation,keyword:none,service_retainer,Adrett || Hirschur,cand_001912,"Adrett is a library magic tool created by Professor Hirschur and Ferdinand, currently owned by Lady Rozemyne.","section=lead source=prose [HEAD] Adrett [/HEAD] is a library magic tool created by Professor [TAIL] Hirschur [/TAIL] and Ferdinand, currently owned by Lady Rozemyne.",service_retainer,parsed,google/gemma-2-2b-it
Brigitte,Florencia,"When the girl is one and a half years old, Illgner is informed by Lady Florencia via letter of an impending invasion by Ahrensbach forces, led by Lady Georgine.",Part 5 Volume 8,prose,no_relation,keyword:none,no_relation,Brigitte || Florencia,cand_001913,"When the girl is one and a half years old, Illgner is informed by Lady Florencia via letter of an impending invasion by Ahrensbach forces, led by Lady Georgine.","section=Part 5 Volume 8 source=prose [HEAD] Brigitte [/HEAD] When the girl is one and a half years old, Illgner is informed by Lady [TAIL] Florencia [/TAIL] via letter of an impending invasion by Ahrensbach forces, led by Lady Georgine.",no_relation,parsed,google/gemma-2-2b-it
Nahelache,Ralfrieda,Infobox field family/Mother: Ralfrieda Magdalena (In-Law),infobox,infobox,family,infobox:family/Mother,romantic,Nahelache || Ralfrieda,cand_001914,Infobox field family/Mother: Ralfrieda Magdalena (In-Law),section=infobox source=infobox [HEAD] Nahelache [/HEAD] Infobox field family/Mother: [TAIL] Ralfrieda [/TAIL] Magdalena (In-Law),romantic,parsed,google/gemma-2-2b-it
Karstedt,Myne,"Having determined the criminals and called in the Knight's Order, they could finally dedicate their time to discuss Myne's adoption.",Attack in the Temple,prose,enemy_rival,keyword:\battack(?:ed|s)?\b,no_relation,Karstedt || Myne,cand_001915,"Having determined the criminals and called in the Knight's Order, they could finally dedicate their time to discuss Myne's adoption.","section=Attack in the Temple source=prose [HEAD] Karstedt [/HEAD] Having determined the criminals and called in the Knight's Order, they could finally dedicate their time to discuss [TAIL] Myne [/TAIL]'s adoption.",no_relation,parsed,google/gemma-2-2b-it
Strahl,Rozemyne,Infobox field occupation: Alexandria's Knight's Commander Rozemyne's Retainer Ferdinand's Retainer (Former) Ahrensbach Knight Commander (Former) Gieselfried's Retainer (Former) Knight,infobox,infobox,service_retainer,infobox:occupation,service_retainer,Strahl || Rozemyne,cand_001916,Infobox field occupation: Alexandria's Knight's Commander Rozemyne's Retainer Ferdinand's Retainer (Former) Ahrensbach Knight Commander (Former) Gieselfried's Retainer (Former) Knight,section=infobox source=infobox [HEAD] Strahl [/HEAD] Infobox field occupation: Alexandria's Knight's Commander [TAIL] Rozemyne [/TAIL]'s Retainer Ferdinand's Retainer (Former) Ahrensbach Knight Commander (Former) Gieselfried's Retainer (Former) Knight,service_retainer,parsed,google/gemma-2-2b-it
Detlinde,Sylvester,"Because her mother is the older sister of Sylvester, Detlinde is also a cousin to Wilfried and his siblings (as well as Rudiger from Frenbeltag).",History,prose,family,"keyword:\bmother\b,\bsister\b,\bcousin\b",family,Detlinde || Sylvester,cand_001917,"Because her mother is the older sister of Sylvester, Detlinde is also a cousin to Wilfried and his siblings (as well as Rudiger from Frenbeltag).","section=History source=prose Because her mother is the older sister of [TAIL] Sylvester [/TAIL], [HEAD] Detlinde [/HEAD] is also a cousin to Wilfried and his siblings (as well as Rudiger from Frenbeltag).",family,parsed,google/gemma-2-2b-it
Lieseleta,Wilfried,"With her being without a partner, the archscholar Thorsten, one of Lord Wilfried's retainers, proposes to Lieseleta and agrees to marry down into her mednoble family, just a short time before her coming-of-age.",Part 5 Volume 3,prose,service_retainer,keyword:\bretainers\b,romantic,Lieseleta || Wilfried,cand_001918,"With her being without a partner, the archscholar Thorsten, one of Lord Wilfried's retainers, proposes to Lieseleta and agrees to marry down into her mednoble family, just a short time before her coming-of-age.","section=Part 5 Volume 3 source=prose With her being without a partner, the archscholar Thorsten, one of Lord [TAIL] Wilfried [/TAIL]'s retainers, proposes to [HEAD] Lieseleta [/HEAD] and agrees to marry down into her mednoble family, just a short time before her coming-of-age.",romantic,parsed,google/gemma-2-2b-it
Ralfrieda,Anastasius,"Ralfrieda was a Sovereign royal, Trauerqual's first wife and the mother of Sigiswald and Anastasius.",lead,prose,romantic,keyword:\bwife\b,family,Ralfrieda || Anastasius,cand_001919,"Ralfrieda was a Sovereign royal, Trauerqual's first wife and the mother of Sigiswald and Anastasius.","section=lead source=prose [HEAD] Ralfrieda [/HEAD] was a Sovereign royal, Trauerqual's first wife and the mother of Sigiswald and [TAIL] Anastasius [/TAIL].",family,parsed,google/gemma-2-2b-it
Gundolf,Hirschur,"One of his current students is Professor Hirschur's protégé Raimund, who is present during this incident and later by happenstance passes this information on to Lady Rozemyne.",Part 4 Volume 6,prose,no_relation,keyword:none,friend_ally,Gundolf || Hirschur,cand_001920,"One of his current students is Professor Hirschur's protégé Raimund, who is present during this incident and later by happenstance passes this information on to Lady Rozemyne.","section=Part 4 Volume 6 source=prose [HEAD] Gundolf [/HEAD] One of his current students is Professor [TAIL] Hirschur [/TAIL]'s protégé Raimund, who is present during this incident and later by happenstance passes this information on to Lady Rozemyne.",friend_ally,parsed,google/gemma-2-2b-it
Stenluke,Ferdinand,Stenluke has a personality and voice similar to Ferdinand’s.,Personality,prose,no_relation,keyword:none,no_relation,Stenluke || Ferdinand,cand_001921,Stenluke has a personality and voice similar to Ferdinand’s.,section=Personality source=prose [HEAD] Stenluke [/HEAD] has a personality and voice similar to [TAIL] Ferdinand [/TAIL]’s.,no_relation,parsed,google/gemma-2-2b-it
Charlotte,Veronica,"Unlike her elder brother Wilfried, she has been raised by her mother Florencia, and as a result, she is far better educated than her brother was at her age, due to the pampering he received from their grandmother Veronica and the retainers chosen by her.",History,prose,family,"keyword:\bmother\b,\bbrother\b,\bgrandmother\b",family,Charlotte || Veronica,cand_001922,"Unlike her elder brother Wilfried, she has been raised by her mother Florencia, and as a result, she is far better educated than her brother was at her age, due to the pampering he received from their grandmother Veronica and the retainers chosen by her.","section=History source=prose [HEAD] Charlotte [/HEAD] Unlike her elder brother Wilfried, she has been raised by her mother Florencia, and as a result, she is far better educated than her brother was at her age, due to the pampering he received from their grandmother [TAIL] Veronica [/TAIL] and the retainers chosen by her.",family,parsed,google/gemma-2-2b-it
Ymir,Cornelius,Due to them having roughly similar height to Cornelius and Damuel respectively Fran and Lothar decide to go so they can find a robe to fit them.,Story,prose,no_relation,keyword:none,no_relation,Ymir || Cornelius,cand_001923,Due to them having roughly similar height to Cornelius and Damuel respectively Fran and Lothar decide to go so they can find a robe to fit them.,section=Story source=prose [HEAD] Ymir [/HEAD] Due to them having roughly similar height to [TAIL] Cornelius [/TAIL] and Damuel respectively Fran and Lothar decide to go so they can find a robe to fit them.,no_relation,parsed,google/gemma-2-2b-it
Hannelore,Dregarnuhr,"As a result, she obtained Dregarnuhr's divine protection. *Among all characters introduced, Hannelore is one of the only two female nobles that tie their hair into two tails, the other being Philine.",Trivia,prose,no_relation,keyword:none,no_relation,Hannelore || Dregarnuhr,cand_001924,"As a result, she obtained Dregarnuhr's divine protection. *Among all characters introduced, Hannelore is one of the only two female nobles that tie their hair into two tails, the other being Philine.","section=Trivia source=prose As a result, she obtained [TAIL] Dregarnuhr [/TAIL]'s divine protection. *Among all characters introduced, [HEAD] Hannelore [/HEAD] is one of the only two female nobles that tie their hair into two tails, the other being Philine.",no_relation,parsed,google/gemma-2-2b-it
Pauline,Rozemyne,"While Rozemyne was in a coma, at Aub Ehrenfest's command, none of Rozemyne's songs were played outside Ehrenfest.",Part 4 Volume 2,prose,no_relation,keyword:none,no_relation,Pauline || Rozemyne,cand_001925,"While Rozemyne was in a coma, at Aub Ehrenfest's command, none of Rozemyne's songs were played outside Ehrenfest.","section=Part 4 Volume 2 source=prose [HEAD] Pauline [/HEAD] While [TAIL] Rozemyne [/TAIL] was in a coma, at Aub Ehrenfest's command, none of Rozemyne's songs were played outside Ehrenfest.",no_relation,parsed,google/gemma-2-2b-it
Gil,Rozemyne,"Gil was moved to Alexandria to support the creation of new workshops and will serve as an attendant to Rozemyne, the High Bishop of the Alexandria Temple.",lead,prose,service_retainer,keyword:\battendant\b,service_retainer,Gil || Rozemyne,cand_001926,"Gil was moved to Alexandria to support the creation of new workshops and will serve as an attendant to Rozemyne, the High Bishop of the Alexandria Temple.","section=lead source=prose [HEAD] Gil [/HEAD] was moved to Alexandria to support the creation of new workshops and will serve as an attendant to [TAIL] Rozemyne [/TAIL], the High Bishop of the Alexandria Temple.",service_retainer,parsed,google/gemma-2-2b-it
Heisshitze,Rozemyne,"At Heisshitze's suggestion, Hannelore and Rozemyne are chosen as the treasures in their ditter match, much to the two girls' surprise, confusion and dismay.",Part 4 Volume 7,prose,no_relation,keyword:none,friend_ally,Heisshitze || Rozemyne,cand_001927,"At Heisshitze's suggestion, Hannelore and Rozemyne are chosen as the treasures in their ditter match, much to the two girls' surprise, confusion and dismay.","section=Part 4 Volume 7 source=prose At [HEAD] Heisshitze [/HEAD]'s suggestion, Hannelore and [TAIL] Rozemyne [/TAIL] are chosen as the treasures in their ditter match, much to the two girls' surprise, confusion and dismay.",friend_ally,parsed,google/gemma-2-2b-it
Renate,Kamil,"Benno intercedes and states that with Kamil being far more interested in books and toys than in hairpins and clothes, he would be much better off in the Plantin Company, sparking a fierce argument between the two brothers-in-law, until Tuuli eventually breaks them up and tells them to let Kamil decide for himself.",Part 4 Volume 9,prose,family,keyword:\bin-law\b,no_relation,Renate || Kamil,cand_001928,"Benno intercedes and states that with Kamil being far more interested in books and toys than in hairpins and clothes, he would be much better off in the Plantin Company, sparking a fierce argument between the two brothers-in-law, until Tuuli eventually breaks them up and tells them to let Kamil decide for himself.","section=Part 4 Volume 9 source=prose [HEAD] Renate [/HEAD] Benno intercedes and states that with [TAIL] Kamil [/TAIL] being far more interested in books and toys than in hairpins and clothes, he would be much better off in the Plantin Company, sparking a fierce argument between the two brothers-in-law, until Tuuli eventually breaks them up and tells them to let Kamil decide for himself.",no_relation,parsed,google/gemma-2-2b-it
Delia,Myne,She is straightforward and childishly blunt and often rude toward Myne and her fellow attendants.,Personality,prose,service_retainer,keyword:\battendants\b,enemy_rival,Delia || Myne,cand_001929,She is straightforward and childishly blunt and often rude toward Myne and her fellow attendants.,section=Personality source=prose [HEAD] Delia [/HEAD] She is straightforward and childishly blunt and often rude toward [TAIL] Myne [/TAIL] and her fellow attendants.,enemy_rival,parsed,google/gemma-2-2b-it
Heidemarie,Elvira,Infobox field family/Mother: Elvira (In-Law),infobox,infobox,family,infobox:family/Mother,romantic,Heidemarie || Elvira,cand_001930,Infobox field family/Mother: Elvira (In-Law),section=infobox source=infobox [HEAD] Heidemarie [/HEAD] Infobox field family/Mother: [TAIL] Elvira [/TAIL] (In-Law),romantic,parsed,google/gemma-2-2b-it
Elusia,Hannelore,Infobox field occupation: Hannelore's Retainer Apprentice Scholar Royal Academy Student,infobox,infobox,service_retainer,infobox:occupation,service_retainer,Elusia || Hannelore,cand_001931,Infobox field occupation: Hannelore's Retainer Apprentice Scholar Royal Academy Student,section=infobox source=infobox [HEAD] Elusia [/HEAD] Infobox field occupation: [TAIL] Hannelore [/TAIL]'s Retainer Apprentice Scholar Royal Academy Student,service_retainer,parsed,google/gemma-2-2b-it
Brigitte,Damuel,Only when she sends a message to Damuel does the spell take flight.,Part 5 Volume 8,prose,no_relation,keyword:none,romantic,Brigitte || Damuel,cand_001932,Only when she sends a message to Damuel does the spell take flight.,section=Part 5 Volume 8 source=prose [HEAD] Brigitte [/HEAD] Only when she sends a message to [TAIL] Damuel [/TAIL] does the spell take flight.,romantic,parsed,google/gemma-2-2b-it
Lamprecht,Wilfried,"He also seems to feel a sense of loyalty and affection for his charge, since he stays with Wilfried even after his reputation is tarnished by entering the Ivory Tower.",Personality,prose,no_relation,keyword:none,friend_ally,Lamprecht || Wilfried,cand_001933,"He also seems to feel a sense of loyalty and affection for his charge, since he stays with Wilfried even after his reputation is tarnished by entering the Ivory Tower.","section=Personality source=prose [HEAD] Lamprecht [/HEAD] He also seems to feel a sense of loyalty and affection for his charge, since he stays with [TAIL] Wilfried [/TAIL] even after his reputation is tarnished by entering the Ivory Tower.",friend_ally,parsed,google/gemma-2-2b-it
Fraularm,Gundolf,"Hirschur and Rauffen investigated the cellar, while Gundolf and Fraularm went to the second and third floors.",Part 4 Volume 6,prose,no_relation,keyword:none,friend_ally,Fraularm || Gundolf,cand_001934,"Hirschur and Rauffen investigated the cellar, while Gundolf and Fraularm went to the second and third floors.","section=Part 4 Volume 6 source=prose Hirschur and Rauffen investigated the cellar, while [TAIL] Gundolf [/TAIL] and [HEAD] Fraularm [/HEAD] went to the second and third floors.",friend_ally,parsed,google/gemma-2-2b-it
Curtiss,Rozemyne,Hartmut and Curtiss would go on to discuss the upcoming coronation of a new Zent and Rozemyne's dedication whirling.,Part 5 Volume 10,prose,no_relation,keyword:none,no_relation,Curtiss || Rozemyne,cand_001935,Hartmut and Curtiss would go on to discuss the upcoming coronation of a new Zent and Rozemyne's dedication whirling.,section=Part 5 Volume 10 source=prose Hartmut and [HEAD] Curtiss [/HEAD] would go on to discuss the upcoming coronation of a new Zent and [TAIL] Rozemyne [/TAIL]'s dedication whirling.,no_relation,parsed,google/gemma-2-2b-it
Constanze,Detlinde,"Infobox field family/Relatives: Karstedt (Cousin) Wilfried (Nephew) Melchior (Nephew) Charlotte (Niece) Henriette (Niece) Detlinde (Niece) Rozemyne (Niece, through adoption) Detlinde (Niece) Alstede (Niece) Wolfram (Nephew, Deceased)",infobox,infobox,family,infobox:family/Relatives,family,Constanze || Detlinde,cand_001936,"Infobox field family/Relatives: Karstedt (Cousin) Wilfried (Nephew) Melchior (Nephew) Charlotte (Niece) Henriette (Niece) Detlinde (Niece) Rozemyne (Niece, through adoption) Detlinde (Niece) Alstede (Niece) Wolfram (Nephew, Deceased)","section=infobox source=infobox [HEAD] Constanze [/HEAD] Infobox field family/Relatives: Karstedt (Cousin) Wilfried (Nephew) Melchior (Nephew) Charlotte (Niece) Henriette (Niece) [TAIL] Detlinde [/TAIL] (Niece) Rozemyne (Niece, through adoption) Detlinde (Niece) Alstede (Niece) Wolfram (Nephew, Deceased)",family,parsed,google/gemma-2-2b-it
